iter	RMSE
0	4.412366696
1	4.30545728
2	4.202279416
3	4.100963519
4	4.00383905
5	3.909641592
6	3.818218132
7	3.729087696
8	3.643223679
9	3.559440384
10	3.477909977
11	3.398278509
12	3.32253645
13	3.248631293
14	3.177059596
15	3.107238492
16	3.040152005
17	2.975714125
18	2.91288424
19	2.852589836
20	2.793804433
21	2.736324325
22	2.681366602
23	2.628109654
24	2.576728751
25	2.527616481
26	2.478431882
27	2.432229399
28	2.387546479
29	2.344116772
30	2.302653424
31	2.262293906
32	2.223074545
33	2.186210064
34	2.150336346
35	2.115819734
36	2.083032902
37	2.050508155
38	2.019756161
39	1.990289708
40	1.962148186
41	1.934953785
42	1.908831621
43	1.883772658
44	1.859725922
45	1.836669075
46	1.814686622
47	1.792070151
48	1.771982597
49	1.752281793
50	1.733642112
51	1.715673673
52	1.69763868
53	1.680072501
54	1.664509047
55	1.64953128
56	1.63543754
57	1.621978295
58	1.608946824
59	1.596555939
60	1.583532719
61	1.5714037
62	1.560569248
63	1.550406048
64	1.537778519
65	1.527777599
66	1.518508986
67	1.509962187
68	1.501968464
69	1.494211303
70	1.462756829
71	1.455614932
72	1.428306191
73	1.420952979
74	1.414924743
75	1.407146054
76	1.400036203
77	1.39408075
78	1.370877022
79	1.36588097
80	1.361287023
81	1.342651476
82	1.338472522
83	1.334587013
84	1.318857577
85	1.315325388
86	1.311802556
87	1.297779191
88	1.294778723
89	1.291928327
90	1.288944457
91	1.277089266
92	1.274585043
93	1.272260963
94	1.263707565
95	1.261254931
96	1.258993079
97	1.250517262
98	1.24865092
99	1.246899858
100	1.245265922
101	1.238153454
102	1.236687413
103	1.234893775
104	1.228230775
105	1.226951754
106	1.225632296
107	1.22025532
108	1.219188943
109	1.218189171
110	1.217232296
111	1.212378902
112	1.211271581
113	1.207153611
114	1.206359189
115	1.205486844
116	1.20223736
117	1.201518865
118	1.200903536
119	1.19707486
120	1.196510705
121	1.195963818
122	1.193522116
123	1.19301718
124	1.192404681
125	1.191312112
126	1.188669414
127	1.188274917
128	1.187798365
129	1.18594678
130	1.184253555
131	1.183840572
132	1.183511205
133	1.183111481
134	1.181222034
135	1.179824821
136	1.179507265
137	1.178226867
138	1.177554794
139	1.177332212
140	1.176032273
141	1.175829572
142	1.174726467
143	1.173613369
144	1.173414333
145	1.171778582
146	1.171598686
147	1.170616172
148	1.169158342
149	1.169032401
150	1.167892473
151	1.167752722
152	1.167042489
153	1.166915306
154	1.166794827
155	1.165701467
156	1.164771448
157	1.164541328
158	1.163867825
159	1.163195742
160	1.163088253
161	1.162649189
162	1.162552025
163	1.162461246
164	1.162391846
165	1.161494616
166	1.16092191
167	1.160806275
168	1.16074686
169	1.160190539
170	1.160015137
171	1.159140098
172	1.158931974
173	1.158332473
174	1.158192916
175	1.157688002
176	1.154072649
177	1.153848741
178	1.153651709
179	1.152940537
180	1.152331398
181	1.152216115
182	1.151564035
183	1.151391708
184	1.15043433
185	1.145615538
186	1.144918013
187	1.144807382
188	1.14466739
189	1.141171126
190	1.140549957
191	1.140033155
192	1.136062131
193	1.135943422
194	1.135450997
195	1.132498634
196	1.132326419
197	1.131786155
198	1.13126893
199	1.130901188
200	1.130541018
201	1.130090673
202	1.129969458
203	1.129702319
204	1.129294529
205	1.128829702
206	1.12850874
207	1.127978225
208	1.127492298
209	1.127325135
210	1.126724698
211	1.126555735
212	1.123425799
213	1.119524784
214	1.119050713
215	1.118637557
216	1.115057412
217	1.114582904
218	1.114419811
219	1.11428586
220	1.113947149
221	1.113815169
222	1.113221072
223	1.113110299
224	1.112054028
225	1.111689731
226	1.111367738
227	1.110943086
228	1.11073188
229	1.107521664
230	1.107238171
231	1.10714512
232	1.106671381
233	1.10631847
234	1.105943709
235	1.105535976
236	1.105265367
237	1.104441966
238	1.101779842
239	1.101478375
240	1.101306467
241	1.101207066
242	1.101079256
243	1.098010686
244	1.09784575
245	1.097397166
246	1.097089987
247	1.096919985
248	1.096736044
249	1.092772898
250	1.092629755
251	1.092438833
252	1.091951107
253	1.091747547
254	1.091618242
255	1.091402718
256	1.091240819
257	1.086222539
258	1.086148085
259	1.08581565
260	1.085791558
261	1.083526703
262	1.082732702
263	1.082457468
264	1.078369119
265	1.07777634
266	1.077555009
267	1.077509908
268	1.077301172
269	1.074419663
270	1.074179386
271	1.074115678
272	1.07143157
273	1.071051903
274	1.070857278
275	1.070824859
276	1.070537686
277	1.070148885
278	1.069840891
279	1.069727313
280	1.06721939
281	1.061576748
282	1.061496269
283	1.059426875
284	1.059057062
285	1.058729682
286	1.058431524
287	1.058391438
288	1.058230195
289	1.058127211
290	1.058059499
291	1.055707805
292	1.053660394
293	1.05348003
294	1.053414108
295	1.053328789
296	1.05318217
297	1.052809862
298	1.052664937
299	1.052642794
300	1.052501156
301	1.052295901
302	1.050588798
303	1.050161825
304	1.049872091
305	1.049858914
306	1.049690259
307	1.048901998
308	1.048869994
309	1.048690527
310	1.048543855
311	1.046360917
312	1.046089209
313	1.045950836
314	1.045767561
315	1.0454118
316	1.045188359
317	1.044800814
318	1.044754639
319	1.044472808
320	1.044268642
321	1.044203636
322	1.044095924
323	1.043954664
324	1.043936847
325	1.042509157
326	1.040656458
327	1.038743128
328	1.038474081
329	1.038301646
330	1.038263777
331	1.038130598
332	1.034562499
333	1.034056753
334	1.033655951
335	1.03353005
336	1.033380758
337	1.033367792
338	1.03294044
339	1.03267738
340	1.032546349
341	1.032532238
342	1.032418985
343	1.032361507
344	1.029360247
345	1.02911189
346	1.029100278
347	1.029087295
348	1.028776553
349	1.028571716
350	1.025099634
351	1.023949396
352	1.023935169
353	1.023758456
354	1.023749996
355	1.022518928
356	1.022454763
357	1.022283546
358	1.020715394
359	1.020705148
360	1.020629558
361	1.020404567
362	1.020053378
363	1.020014946
364	1.019912607
365	1.019838806
366	1.019669311
367	1.0181915
368	1.017881523
369	1.016384381
370	1.013760633
371	1.013429038
372	1.01320101
373	1.012811806
374	1.012758231
375	1.012491893
376	1.012230017
377	1.010976521
378	1.010863776
379	1.010813183
380	1.01079929
381	1.010688887
382	1.01064084
383	1.010366396
384	1.010295948
385	1.008974064
386	1.00887962
387	1.008704169
388	1.008690541
389	1.00859415
390	1.00855311
391	1.005840322
392	1.005737873
393	1.005492959
394	1.0051902
395	1.005023222
396	1.005011918
397	1.004985949
398	1.004820546
399	1.004747883
400	1.003211685
401	1.00194665
402	1.000976664
403	1.000929558
404	1.000698498
405	1.000500689
406	1.000061739
407	0.9976059491
408	0.9971987938
409	0.9970518621
410	0.9970192861
411	0.9968944211
412	0.9968517219
413	0.9968113793
414	0.9967507301
415	0.996725271
416	0.9965381841
417	0.9964597482
418	0.9962589173
419	0.9962212798
420	0.9961028513
421	0.9960177163
422	0.9959837132
423	0.9959477404
424	0.995705028
425	0.9956678082
426	0.9955475008
427	0.9955360723
428	0.9953616268
429	0.9952670153
430	0.995129247
431	0.995065958
432	0.9937492061
433	0.9936103574
434	0.993398126
435	0.991006281
436	0.9909488464
437	0.9908390873
438	0.9906501445
439	0.9906294129
440	0.9904935283
441	0.9904761966
442	0.9904438119
443	0.9903944842
444	0.9903882536
445	0.9902956776
446	0.9902282965
447	0.9902242176
448	0.9901938184
449	0.9900513373
450	0.9899570693
451	0.9878083081
452	0.9876972219
453	0.9864415338
454	0.9847421207
455	0.9834617468
456	0.9821085478
457	0.9818950276
458	0.9818210274
459	0.9816333505
460	0.981546017
461	0.9814221077
462	0.9813914741
463	0.9812596837
464	0.9811127862
465	0.9809114418
466	0.9807652664
467	0.9807056395
468	0.9806392954
469	0.9805725701
470	0.9805163551
471	0.9804902904
472	0.98029597
473	0.9801259128
474	0.9799597923
475	0.9798539552
476	0.9797516761
477	0.9792543231
478	0.9782540088
479	0.9773070833
480	0.9772020221
481	0.9771246884
482	0.977009489
