iter	Passed	Remaining
0	19	9893
1	37	9261
2	53	8853
3	70	8773
4	86	8540
5	103	8489
6	118	8367
7	135	8322
8	152	8316
9	169	8300
10	186	8284
11	203	8288
12	219	8216
13	235	8177
14	251	8127
15	267	8077
16	284	8076
17	300	8040
18	316	8013
19	333	7997
20	351	8027
21	368	7997
22	384	7974
23	401	7953
24	417	7933
25	434	7916
26	450	7896
27	468	7897
28	485	7888
29	503	7889
30	522	7899
31	538	7881
32	555	7860
33	572	7848
34	589	7836
35	605	7808
36	622	7795
37	638	7767
38	655	7747
39	672	7728
40	688	7708
41	704	7683
42	720	7655
43	739	7662
44	756	7647
45	773	7634
46	789	7614
47	806	7594
48	827	7615
49	850	7656
50	868	7649
51	885	7632
52	902	7610
53	918	7587
54	935	7572
55	953	7558
56	973	7566
57	993	7571
58	1013	7572
59	1031	7560
60	1048	7543
61	1065	7528
62	1083	7519
63	1101	7506
64	1121	7506
65	1139	7495
66	1159	7496
67	1179	7494
68	1200	7495
69	1219	7490
70	1237	7475
71	1255	7461
72	1272	7440
73	1290	7431
74	1308	7415
75	1326	7398
76	1344	7387
77	1362	7372
78	1381	7363
79	1399	7345
80	1415	7324
81	1435	7318
82	1455	7312
83	1476	7313
84	1497	7313
85	1518	7309
86	1537	7298
87	1557	7293
88	1581	7301
89	1602	7300
90	1621	7286
91	1640	7273
92	1658	7259
93	1681	7260
94	1700	7249
95	1721	7246
96	1739	7226
97	1758	7213
98	1776	7195
99	1794	7178
100	1814	7168
101	1832	7152
102	1852	7139
103	1870	7124
104	1891	7114
105	1911	7106
106	1928	7084
107	1945	7062
108	1964	7045
109	1982	7027
110	1999	7006
111	2017	6989
112	2037	6979
113	2061	6979
114	2081	6968
115	2100	6952
116	2118	6934
117	2137	6921
118	2156	6905
119	2173	6883
120	2194	6873
121	2211	6853
122	2229	6834
123	2248	6819
124	2267	6801
125	2284	6781
126	2302	6763
127	2320	6744
128	2339	6728
129	2357	6710
130	2375	6690
131	2392	6670
132	2410	6651
133	2429	6634
134	2447	6617
135	2464	6596
136	2482	6578
137	2501	6562
138	2519	6542
139	2536	6522
140	2553	6500
141	2570	6481
142	2588	6461
143	2605	6442
144	2627	6432
145	2646	6416
146	2667	6404
147	2689	6396
148	2707	6377
149	2727	6363
150	2745	6344
151	2764	6328
152	2782	6309
153	2801	6293
154	2822	6282
155	2841	6264
156	2859	6247
157	2877	6229
158	2896	6212
159	2915	6194
160	2932	6174
161	2950	6155
162	2968	6136
163	2988	6122
164	3006	6105
165	3025	6086
166	3043	6068
167	3062	6051
168	3081	6035
169	3099	6017
170	3118	5999
171	3139	5986
172	3158	5970
173	3176	5951
174	3194	5932
175	3210	5911
176	3228	5890
177	3245	5870
178	3263	5852
179	3282	5835
180	3301	5818
181	3318	5797
182	3336	5779
183	3353	5760
184	3370	5739
185	3388	5719
186	3407	5702
187	3424	5682
188	3442	5664
189	3460	5645
190	3476	5625
191	3494	5605
192	3512	5587
193	3531	5569
194	3548	5550
195	3567	5533
196	3589	5521
197	3617	5517
198	3637	5502
199	3654	5481
200	3673	5463
201	3691	5445
202	3716	5437
203	3745	5434
204	3767	5421
205	3788	5406
206	3806	5387
207	3822	5366
208	3839	5346
209	3857	5326
210	3874	5307
211	3892	5287
212	3909	5267
