ID,item_cnt_month
0,0.1
1,0.67
2,0.67
3,0.08
4,0.68
5,0.94
6,0.59
7,0.09
8,0.94
9,0.96
10,3.52
11,0.03
12,0.39
13,0.14
14,1.47
15,2.3
16,0.67
17,0.04
18,1.64
19,0.09
20,1.1
21,0.95
22,0.95
23,0.74
24,1.13
25,1.19
26,1.19
27,0.4
28,0.77
29,3.99
30,0.14
31,0.61
32,0.23
33,0.83
34,0.11
35,0.0
36,0.1
37,0.68
38,0.33
39,0.07
40,1.0
41,1.05
42,3.54
43,4.95
44,0.41
45,1.22
46,1.18
47,0.28
48,0.18
49,0.8
50,1.28
51,0.08
52,0.39
53,0.39
54,7.67
55,2.36
56,1.36
57,1.88
58,4.19
59,9.82
60,4.81
61,0.46
62,0.3
63,0.15
64,1.35
65,1.07
66,0.67
67,0.02
68,0.17
69,0.04
70,1.04
71,3.64
72,0.65
73,1.64
74,1.47
75,1.47
76,0.17
77,1.47
78,0.5
79,0.85
80,0.76
81,2.03
82,0.66
83,0.33
84,1.47
85,1.32
86,1.12
87,0.0
88,3.01
89,1.3
90,0.62
91,0.11
92,1.55
93,0.48
94,0.28
95,0.0
96,0.12
97,0.54
98,1.26
99,1.9
100,3.71
101,0.81
102,0.15
103,0.0
104,0.19
105,1.09
106,0.85
107,1.09
108,0.13
109,0.64
110,0.11
111,0.78
112,0.78
113,0.78
114,0.59
115,0.06
116,1.43
117,0.06
118,8.25
119,0.31
120,0.2
121,0.08
122,0.27
123,0.46
124,0.79
125,0.93
126,1.43
127,0.01
128,0.65
129,0.34
130,0.46
131,0.81
132,0.91
133,5.11
134,0.08
135,0.0
136,0.62
137,2.1
138,0.44
139,1.82
140,0.26
141,0.66
142,0.0
143,0.21
144,0.55
145,0.55
146,0.55
147,0.08
148,0.53
149,0.67
150,0.01
151,1.35
152,4.17
153,0.07
154,0.24
155,0.48
156,0.43
157,0.18
158,0.03
159,0.07
160,0.53
161,0.0
162,1.08
163,0.52
164,0.22
165,0.0
166,0.5
167,0.0
168,0.33
169,0.08
170,0.0
171,0.42
172,0.2
173,0.96
174,1.7
175,2.29
176,1.81
177,0.64
178,0.13
179,0.01
180,0.48
181,0.51
182,0.56
183,0.07
184,0.02
185,0.68
186,0.16
187,0.31
188,1.18
189,1.17
190,1.05
191,0.58
192,0.34
193,0.07
194,0.0
195,0.09
196,0.07
197,2.73
198,1.75
199,0.58
200,0.58
201,0.41
202,0.18
203,1.3
204,0.08
205,0.7
206,0.7
207,0.05
208,1.22
209,1.75
210,0.07
211,0.18
212,0.02
213,0.03
214,0.14
215,0.27
216,0.52
217,0.25
218,2.3
219,0.77
220,0.28
221,0.36
222,0.55
223,0.28
224,3.65
225,0.09
226,0.21
227,0.56
228,0.04
229,0.76
230,0.61
231,0.58
232,0.62
233,0.06
234,0.64
235,0.33
236,0.12
237,0.37
238,0.0
239,0.33
240,0.3
241,0.01
242,2.95
243,0.36
244,1.0
245,0.33
246,1.75
247,0.38
248,0.33
249,0.0
250,0.73
251,0.09
252,0.12
253,1.88
254,0.63
255,7.63
256,1.48
257,0.16
258,0.47
259,0.23
260,0.0
261,0.0
262,0.3
263,0.71
264,0.04
265,0.48
266,0.69
267,0.12
268,0.0
269,0.0
270,1.25
271,0.02
272,0.0
273,1.33
274,10.89
275,0.8
276,0.27
277,1.38
278,0.06
279,0.33
280,0.09
281,0.05
282,0.08
283,0.68
284,0.21
285,0.19
286,1.08
287,0.34
288,0.36
289,0.36
290,0.78
291,0.0
292,0.12
293,0.11
294,0.34
295,0.76
296,0.16
297,0.33
298,0.76
299,0.91
300,0.0
301,0.6
302,0.86
303,0.51
304,0.01
305,0.02
306,0.35
307,0.07
308,0.21
309,1.66
310,1.3
311,0.24
312,0.59
313,0.07
314,0.76
315,0.0
316,0.05
317,2.63
318,0.0
319,0.15
320,0.9
321,0.02
322,0.62
323,0.01
324,0.68
325,1.17
326,0.04
327,0.86
328,0.86
329,0.41
330,0.82
331,0.55
332,0.01
333,0.25
334,0.97
335,0.29
336,0.03
337,0.86
338,0.18
339,0.45
340,0.21
341,0.21
342,0.68
343,1.28
344,0.0
345,0.05
346,4.98
347,3.63
348,0.2
349,0.39
350,1.07
351,0.61
352,0.46
353,0.01
354,1.6
355,0.76
356,1.25
357,0.23
358,1.16
359,0.3
360,0.32
361,4.24
362,0.12
363,1.07
364,0.99
365,0.52
366,0.72
367,0.75
368,0.96
369,0.04
370,1.05
371,0.65
372,2.63
373,0.96
374,1.49
375,2.4
376,0.51
377,0.09
378,0.25
379,0.85
380,5.19
381,0.53
382,0.48
383,1.26
384,2.18
385,0.52
386,0.35
387,1.08
388,0.12
389,0.01
390,0.72
391,0.27
392,0.21
393,0.37
394,2.13
395,0.65
396,1.32
397,0.68
398,1.26
399,0.3
400,1.27
401,0.79
402,1.22
403,2.59
404,0.15
405,0.16
406,0.02
407,0.0
408,0.05
409,1.32
410,1.49
411,0.9
412,0.06
413,0.2
414,1.29
415,3.09
416,1.3
417,1.3
418,1.31
419,3.22
420,0.64
421,0.67
422,0.27
423,0.79
424,0.13
425,0.09
426,0.65
427,0.93
428,1.04
429,1.0
430,1.26
431,0.84
432,0.0
433,0.91
434,0.02
435,0.42
436,0.15
437,0.61
438,0.45
439,0.33
440,0.02
441,0.42
442,0.0
443,0.13
444,0.08
445,0.25
446,0.48
447,0.25
448,0.07
449,0.5
450,0.0
451,0.2
452,0.05
453,0.01
454,0.43
455,0.24
456,0.38
457,1.49
458,1.42
459,0.96
460,64.75
461,1.34
462,0.77
463,0.72
464,0.54
465,0.48
466,0.47
467,0.61
468,0.64
469,0.3
