ID,item_cnt_month
0,0.27
1,0.0
2,0.56
3,0.02
4,0.01
5,0.49
6,0.67
7,0.11
8,1.09
9,0.95
10,3.1
11,0.12
12,0.04
13,0.38
14,1.33
15,2.81
16,0.02
17,0.12
18,1.64
19,0.14
20,0.91
21,0.72
22,1.22
23,0.89
24,1.47
25,2.02
26,1.77
27,0.38
28,0.78
29,4.9
30,0.5
31,0.35
32,0.31
33,1.01
34,0.03
35,0.01
36,0.11
37,0.54
38,0.2
39,0.34
40,0.76
41,1.1
42,3.36
43,4.98
44,0.51
45,0.06
46,1.1
47,0.24
48,0.14
49,0.7
50,1.29
51,0.05
52,0.25
53,0.44
54,6.36
55,3.44
56,1.82
57,1.81
58,3.08
59,10.2
60,3.48
61,0.53
62,0.25
63,0.15
64,0.06
65,0.0
66,0.7
67,0.02
68,0.47
69,0.07
70,0.0
71,3.13
72,0.45
73,1.55
74,1.12
75,1.12
76,0.07
77,0.0
78,0.6
79,0.66
80,1.65
81,2.08
82,1.04
83,0.08
84,0.89
85,1.37
86,0.88
87,0.0
88,3.49
89,1.04
90,0.33
91,0.12
92,1.79
93,0.14
94,0.22
95,0.0
96,0.47
97,0.29
98,0.74
99,1.73
100,1.18
101,0.1
102,0.54
103,0.07
104,0.13
105,0.21
106,0.0
107,0.89
108,0.07
109,0.0
110,0.19
111,0.45
112,0.53
113,0.5
114,0.33
115,0.06
116,0.43
117,0.02
118,9.96
119,0.21
120,0.24
121,0.13
122,0.3
123,0.65
124,0.77
125,1.08
126,0.01
127,0.0
128,0.0
129,0.24
130,1.17
131,0.0
132,3.48
133,5.02
134,0.01
135,0.39
136,0.71
137,0.01
138,0.45
139,0.01
140,0.2
141,0.71
142,0.02
143,0.26
144,0.01
145,0.01
146,0.01
147,0.03
148,0.0
149,0.0
150,0.02
151,0.01
152,5.4
153,0.06
154,0.0
155,0.1
156,0.53
157,0.01
158,0.0
159,0.0
160,0.0
161,0.03
162,0.0
163,0.46
164,0.49
165,0.0
166,0.26
167,0.0
168,0.0
169,0.01
170,0.03
171,0.63
172,0.18
173,0.77
174,1.44
175,3.07
176,1.93
177,0.33
178,0.15
179,0.0
180,1.2
181,0.17
182,0.0
183,0.13
184,0.04
185,0.0
186,0.1
187,0.2
188,0.43
189,0.43
190,1.29
191,0.52
192,0.17
193,0.05
194,0.08
195,0.03
196,0.04
197,3.11
198,1.59
199,0.01
200,0.01
201,0.01
202,0.06
203,1.26
204,0.1
205,0.0
206,0.0
207,0.4
208,0.73
209,0.87
210,0.13
211,0.17
212,0.0
213,0.01
214,0.03
215,0.36
216,0.47
217,0.24
218,2.28
219,0.67
220,0.42
221,0.01
222,0.01
223,0.57
224,2.73
225,0.21
226,0.62
227,0.01
228,0.33
229,0.01
230,0.0
231,0.55
232,0.51
233,0.49
234,0.12
235,0.07
236,0.4
237,0.46
238,0.05
239,0.34
240,0.14
241,0.01
242,0.08
243,0.01
244,0.02
245,0.27
246,1.26
247,0.41
248,0.3
249,0.01
250,0.57
251,0.01
252,0.31
253,1.3
254,0.81
255,2.11
256,0.0
257,0.07
258,0.55
259,0.27
260,0.01
261,0.0
262,0.35
263,0.0
264,0.01
265,0.68
266,0.0
267,0.03
268,0.02
269,0.0
270,1.18
271,0.22
272,0.18
273,1.39
274,9.97
275,0.0
276,0.74
277,1.55
278,0.11
279,0.16
280,0.09
281,0.15
282,0.2
283,0.51
284,0.06
285,0.09
286,0.0
287,0.43
288,0.27
289,0.08
290,0.0
291,0.01
292,0.2
293,0.1
294,0.25
295,1.13
296,0.37
297,0.5
298,0.0
299,0.0
300,0.0
301,0.75
302,1.03
303,0.39
304,0.01
305,0.0
306,0.46
307,0.12
308,0.22
309,0.0
310,0.0
311,0.38
312,0.29
313,0.16
314,0.0
315,0.08
316,0.03
317,5.18
318,0.0
319,0.17
320,0.24
321,0.05
322,0.81
323,0.03
324,0.66
325,1.03
326,0.2
327,0.0
