iter	RMSE
0	8041.18818711	7839.09619222	7647.88582733	7456.49669744	7274.77600155	7098.11519
6	6930.700134
7	6764.260497
8	6606.154553
9	6454.279994
10	6303.389578
11	6159.579111
12	6022.477998
13	5889.824862114	5760.231577115	5636.235996116	5514.131447117	5396.165879118	5284.673235119	5174.088525220	5069.60284
21	4969.102915222	4872.353438223	4774.273461224	4684.311673225	4596.416555226	4513.377396227	4433.38336
28	4356.441561
29	4282.369658
30	4211.278269
31	4141.164991
32	4075.173294
33	4011.982426
34	3949.754637
35	3891.461632
36	3833.612983
37	3780.305457
38	3728.010292
39	3677.950576440	3629.45054
41	3584.369444
42	3540.718298
43	3498.716681
44	3459.513695
45	3421.909488
46	3386.008969
47	3351.43256
48	3317.897973
49	3285.931624
50	3255.362809
51	3226.371959
52	3197.666797
53	3171.950731
54	3147.078746
55	3123.673698
56	3100.279056
57	3078.456863
58	3057.386311
59	3037.702767
60	3019.347111
61	3001.213474
62	2983.038513
63	2967.511974
64	2952.412346
65	2937.989788
66	2924.044517
67	2911.279784
68	2898.334391
69	2886.520265770	2875.435047171	2864.381057272	2854.314947373	2844.4575
74	2835.079192
75	2826.330038
76	2817.935047
77	2810.108492
78	2802.9556
79	2795.242677
80	2788.518764
81	2781.705052
82	2775.025614
83	2769.207489
84	2763.856466
85	2758.33698
86	2753.284128
87	2747.526167
88	2743.330376
89	2739.436017
90	2735.232388
91	2731.151198
92	2727.658929
93	2723.671868
94	2720.524912
95	2717.673952
96	2714.026104
97	2711.062628
98	2708.090878
99	2704.6623

