iter	Passed	Remaining
0	63	6260
1	125	6131
2	183	5941
3	242	5826
4	300	5714
5	360	5654
6	418	5564
7	477	5489
8	584	5914
9	684	6160
10	744	6023
11	804	5898
12	864	5785
13	923	5672
14	987	5597
15	1048	5503
16	1107	5407
17	1166	5314
18	1226	5230
19	1285	5143
20	1346	5065
21	1406	4985
22	1464	4904
23	1524	4827
24	1583	4751
25	1643	4678
26	1703	4606
27	1763	4534
28	1822	4462
29	1881	4391
30	1950	4341
31	2008	4268
32	2066	4196
33	2125	4126
34	2184	4057
35	2243	3988
36	2301	3918
37	2360	3851
38	2422	3789
39	2487	3731
40	2546	3664
41	2607	3600
42	2668	3537
43	2730	3475
44	2793	3414
45	2855	3351
46	2916	3289
47	2978	3226
48	3040	3164
49	3102	3102
50	3163	3039
51	3226	2978
52	3289	2917
53	3341	2846
54	3381	2766
55	3416	2684
56	3472	2619
57	3531	2557
58	3590	2495
59	3650	2433
60	3714	2374
61	3773	2312
62	3835	2252
63	3894	2190
64	3953	2128
65	4011	2066
66	4069	2004
67	4129	1943
68	4190	1882
69	4248	1820
70	4305	1758
71	4363	1696
72	4422	1635
73	4479	1573
74	4537	1512
75	4595	1451
76	4654	1390
77	4713	1329
78	4772	1268
79	4830	1207
80	4889	1146
81	4948	1086
82	5006	1025
83	5066	964
84	5124	904
85	5183	843
86	5242	783
87	5301	722
88	5360	662
89	5419	602
90	5484	542
91	5544	482
92	5603	421
93	5662	361
94	5722	301
95	5781	240
96	5839	180
97	5897	120
98	5956	60
99	6014	0
