iter	Passed	Remaining
0	1	1602
1	2	1090
2	2	884
3	3	778
4	3	715
5	4	674
6	4	641
7	5	634
8	5	621
9	6	606
10	6	592
11	7	583
12	7	585
13	8	590
14	8	583
15	9	577
16	10	579
17	10	577
18	11	573
19	11	570
20	12	562
21	12	557
22	13	553
23	13	550
24	14	546
25	14	543
26	15	541
27	15	539
28	16	536
29	16	533
30	17	536
31	17	535
32	18	534
33	18	531
34	18	522
35	19	520
36	19	517
37	20	515
38	20	515
39	21	516
40	22	515
41	22	515
42	23	515
43	23	513
44	24	513
45	24	513
46	25	513
47	25	513
48	26	517
49	27	515
50	27	518
51	28	518
52	28	517
53	29	518
54	30	523
55	31	532
56	32	531
57	32	527
58	33	528
59	33	532
60	34	537
61	35	537
62	36	535
63	36	540
64	37	541
65	38	548
66	39	555
67	40	555
68	41	556
69	42	561
70	43	567
71	44	568
72	45	576
73	45	573
74	47	583
75	47	582
76	48	582
77	49	582
78	49	578
79	50	580
80	50	577
81	51	574
82	51	573
83	52	571
84	52	569
85	53	568
86	53	565
87	54	565
88	55	563
89	55	561
90	55	559
91	56	556
92	56	555
93	57	553
94	58	553
95	58	555
96	59	556
97	60	555
98	61	562
99	62	562
100	63	566
101	64	568
102	65	567
103	66	573
104	67	571
105	67	571
106	68	572
107	68	569
108	69	567
109	69	566
110	70	564
111	70	562
112	71	562
113	72	561
114	72	560
115	73	561
116	74	562
117	76	568
118	76	566
119	77	568
120	78	566
121	78	566
122	79	569
123	80	569
124	81	568
125	81	567
126	82	565
127	82	564
128	83	562
129	83	560
130	84	559
131	84	558
132	85	556
133	85	555
134	86	553
135	86	552
136	87	551
137	87	549
138	88	547
139	88	545
140	89	542
141	90	544
142	91	549
143	92	549
144	93	549
145	93	548
146	94	546
147	95	548
148	95	547
149	96	547
150	97	549
151	98	549
152	99	551
153	100	553
154	101	552
155	101	551
156	102	552
157	103	552
158	104	550
159	105	551
160	105	551
161	106	549
162	107	553
163	108	552
164	110	556
165	110	555
166	111	556
167	113	559
168	114	561
169	115	563
170	116	563
171	117	566
172	118	566
173	119	567
174	120	568
175	121	566
176	121	565
177	122	565
178	123	564
179	123	563
180	124	561
181	124	561
182	126	564
183	126	562
184	127	562
185	129	565
186	130	565
187	131	566
188	131	566
189	132	564
190	133	564
191	133	562
192	134	561
193	134	560
194	135	558
195	136	558
196	136	557
197	138	559
198	138	557
199	139	557
200	139	556
201	140	554
202	141	555
203	142	556
204	143	555
205	143	554
206	144	553
207	145	552
208	146	553
209	146	551
210	147	550
211	147	548
212	148	548
213	150	551
214	150	550
215	151	549
216	153	552
217	154	553
218	154	552
219	155	552
220	156	551
221	157	552
222	158	552
223	159	552
224	160	552
225	161	553
226	162	552
227	162	551
228	163	551
229	164	549
230	164	548
231	165	547
232	165	546
233	166	546
234	167	545
235	168	544
236	168	543
237	169	542
238	170	541
239	171	541
240	171	541
241	172	540
242	172	538
243	173	537
244	173	535
245	174	535
246	175	533
247	175	532
248	176	531
249	176	530
250	177	528
251	177	527
252	178	526
253	178	525
254	179	524
255	180	523
256	180	522
257	181	520
258	182	520
259	182	519
260	183	519
261	183	517
262	184	516
263	184	515
264	185	513
265	185	512
266	186	511
267	186	510
268	187	508
269	187	507
270	188	506
271	188	505
272	189	504
273	189	502
274	190	501
275	190	500
276	191	499
277	191	498
278	192	497
279	193	496
280	193	495
281	194	494
282	194	493
283	196	494
284	196	493
285	197	492
286	197	491
287	198	490
288	199	491
289	200	490
290	200	489
291	201	488
292	201	487
293	202	486
294	203	485
295	203	484
296	204	483
297	204	482
298	205	480
299	206	481
300	207	481
301	207	480
302	208	479
303	209	478
304	209	477
305	210	476
306	210	475
307	211	474
308	212	474
309	212	473
310	213	473
311	214	473
312	215	472
313	216	471
314	216	470
315	217	469
316	217	468
317	218	467
318	218	467
319	219	466
320	220	465
321	220	464
322	220	462
323	221	462
324	222	461
325	222	459
326	222	458
327	223	457
328	224	457
329	224	455
330	225	454
331	225	453
332	225	452
333	226	451
334	226	450
335	227	449
336	227	448
337	228	447
338	228	446
339	229	445
340	229	444
341	230	443
342	230	442
343	231	441
344	231	440
345	232	439
346	232	438
347	233	437
348	233	436
349	234	435
350	234	434
351	235	433
352	235	432
353	236	431
354	236	430
355	237	429
356	237	428
357	238	427
358	238	426
359	239	425
360	239	424
361	240	423
362	240	422
363	241	421
364	241	420
365	242	419
366	242	418
367	243	417
368	243	416
369	243	415
370	244	414
371	245	413
372	245	412
373	246	411
374	246	410
375	246	409
376	247	408
377	247	408
378	248	407
379	248	406
380	249	405
381	249	404
382	250	403
383	250	402
384	251	401
385	251	400
386	252	399
387	252	398
388	253	397
389	253	397
390	254	396
391	254	395
392	255	394
393	256	394
394	257	394
395	257	393
396	258	392
397	258	391
398	259	390
399	259	389
400	260	389
401	261	388
402	261	387
403	262	386
404	262	386
405	263	385
406	263	384
407	264	383
408	265	382
409	265	382
410	266	381
411	266	380
412	267	379
413	267	378
414	267	377
415	268	377
416	269	376
417	270	376
418	270	375
419	271	374
420	271	373
421	272	372
422	272	371
423	273	371
424	273	370
425	274	369
426	274	368
427	275	368
428	275	367
429	276	366
430	276	365
431	277	364
432	277	363
433	278	362
434	278	362
435	279	361
436	279	360
437	280	359
438	280	358
439	281	358
440	282	357
441	283	358
442	284	358
443	285	357
444	286	357
445	287	356
446	287	355
447	288	354
448	288	354
449	288	353
450	289	352
451	289	351
452	290	350
453	291	349
454	291	349
455	292	349
456	293	348
457	294	348
458	294	347
459	295	346
460	295	345
461	296	345
462	296	344
463	297	343
464	297	342
465	298	341
466	298	341
467	299	340
468	300	339
469	300	339
470	301	338
471	301	337
472	302	336
473	302	335
474	303	335
475	303	334
476	304	333
477	304	332
478	305	331
479	305	331
480	306	330
481	306	329
482	307	328
483	308	328
484	308	327
485	309	326
486	309	326
487	310	325
488	310	324
489	311	323
490	311	322
491	312	322
492	312	321
493	312	320
494	313	319
495	313	319
496	314	318
497	314	317
498	315	316
499	316	316
500	316	315
501	316	314
502	317	313
503	317	312
504	318	312
505	318	311
506	319	310
507	319	309
508	320	309
509	320	308
510	321	307
511	321	306
512	322	306
513	322	305
514	323	304
515	324	304
516	324	303
517	325	302
518	325	301
519	326	301
520	326	300
521	327	299
522	327	298
523	328	298
524	328	297
525	329	296
526	329	295
527	330	295
528	330	294
529	331	293
530	331	292
531	332	292
532	333	291
533	333	291
534	334	290
535	334	289
536	335	289
537	335	288
538	336	287
539	337	287
540	337	286
541	338	285
542	338	284
543	339	284
544	339	283
545	340	282
546	340	282
547	341	281
548	341	280
549	342	279
550	342	279
551	342	278
552	343	277
553	343	276
554	344	276
555	344	275
556	345	274
557	345	274
558	346	273
559	346	272
560	347	271
561	347	271
562	348	270
563	348	269
564	349	268
565	349	268
566	350	267
567	350	266
568	351	266
569	351	265
570	352	264
571	352	264
572	353	263
573	354	262
574	354	262
575	355	261
576	355	260
577	356	259
578	356	259
579	356	258
580	357	257
581	357	257
582	358	256
583	359	256
584	360	255
585	360	254
586	361	254
587	361	253
588	362	252
589	362	252
590	363	251
591	363	250
592	364	250
593	364	249
594	365	248
595	365	247
596	366	247
597	366	246
598	367	245
599	367	245
600	368	244
601	368	243
602	369	243
603	369	242
604	370	241
605	370	241
606	371	240
607	371	239
608	372	239
609	372	238
610	373	237
611	373	236
612	374	236
613	374	235
614	375	234
615	375	234
616	376	233
617	376	232
618	377	232
619	377	231
620	378	230
621	378	230
622	379	229
623	379	228
624	380	228
625	380	227
626	381	226
627	381	226
628	382	225
629	382	224
630	383	224
631	383	223
632	384	222
633	384	222
634	385	221
635	385	220
636	386	220
637	386	219
638	387	218
639	387	218
640	388	217
641	388	216
642	388	215
643	389	215
644	389	214
645	390	213
646	390	213
647	391	212
648	391	211
649	392	211
650	392	210
651	393	209
652	393	209
653	394	208
654	394	207
655	395	207
656	396	206
657	397	206
658	398	205
659	398	205
660	398	204
661	399	203
662	399	203
663	400	202
664	401	202
665	401	201
666	402	200
667	402	200
668	403	199
669	403	198
670	404	198
671	404	197
672	405	196
673	405	196
674	406	195
675	406	194
676	406	194
677	407	193
678	408	192
679	409	192
680	409	191
681	410	191
682	411	190
683	411	190
684	412	189
685	412	188
686	413	188
687	413	187
688	414	186
689	414	186
690	415	185
691	415	185
692	416	184
693	416	183
694	417	183
695	417	182
696	418	181
697	418	181
698	419	180
699	419	179
700	420	179
701	420	178
702	421	177
703	422	177
704	422	176
705	423	176
706	424	175
