iter	Passed	Remaining
0	138	138730
1	165	82635
2	185	61666
3	212	52791
4	233	46433
5	255	42357
6	283	40223
7	310	38548
8	336	37095
9	364	36039
10	390	35111
11	421	34737
12	446	33864
13	470	33153
14	496	32591
15	522	32153
16	546	31577
17	567	30964
18	595	30724
19	616	30231
20	643	29977
21	683	30363
22	714	30356
23	742	30178
24	768	29976
25	791	29650
26	822	29628
27	847	29406
28	874	29293
29	905	29265
30	932	29155
31	960	29065
32	987	28934
33	1014	28824
34	1039	28656
35	1067	28579
36	1088	28335
37	1115	28246
38	1138	28056
39	1165	27969
40	1192	27885
41	1215	27729
42	1240	27602
43	1268	27550
44	1295	27498
45	1318	27347
46	1343	27236
47	1371	27192
48	1391	27015
49	1420	26993
50	1447	26930
51	1475	26890
52	1499	26797
53	1526	26740
54	1548	26610
55	1574	26542
56	1595	26398
57	1618	26282
58	1645	26242
59	1670	26176
60	1698	26150
61	1727	26130
62	1751	26053
63	1773	25933
64	1805	25965
65	1836	25989
66	1860	25905
67	1887	25872
68	1910	25773
69	1937	25744
70	1965	25722
71	1991	25671
72	2020	25652
73	2047	25620
74	2068	25508
75	2096	25494
76	2122	25437
77	2149	25402
78	2176	25375
79	2204	25346
80	2227	25272
81	2254	25243
82	2279	25180
83	2307	25167
84	2336	25147
85	2363	25121
86	2387	25056
87	2415	25034
88	2440	24978
89	2465	24926
90	2490	24882
91	2521	24888
92	2548	24856
93	2577	24842
94	2606	24825
95	2631	24782
96	2657	24740
97	2684	24708
98	2708	24653
99	2734	24613
100	2760	24572
101	2787	24539
102	2811	24481
103	2835	24431
104	2863	24409
105	2888	24359
106	2918	24353
107	2949	24358
108	2974	24312
109	3001	24283
110	3021	24198
111	3052	24202
112	3078	24167
113	3106	24139
114	3133	24117
115	3163	24111
116	3191	24083
117	3219	24063
118	3246	24037
119	3273	24006
120	3296	23950
121	3320	23898
122	3349	23878
123	3376	23850
124	3406	23842
125	3432	23807
126	3462	23798
127	3489	23772
128	3517	23751
129	3546	23731
130	3573	23701
131	3599	23667
132	3624	23628
133	3652	23608
134	3680	23579
135	3708	23558
136	3734	23525
137	3759	23483
138	3786	23454
139	3811	23412
140	3839	23393
141	3871	23391
142	3901	23384
143	3928	23353
144	3957	23333
145	3988	23331
146	4019	23323
147	4049	23311
148	4077	23287
149	4103	23253
150	4134	23246
151	4161	23217
152	4190	23196
153	4217	23166
154	4243	23133
155	4269	23097
156	4297	23073
157	4324	23048
158	4352	23022
159	4382	23008
160	4411	22990
161	4439	22965
162	4466	22936
163	4494	22909
164	4522	22886
165	4555	22886
166	4583	22862
167	4609	22830
168	4637	22805
169	4670	22802
170	4697	22774
171	4729	22765
172	4756	22735
173	4784	22710
174	4809	22672
175	4837	22649
176	4867	22633
177	4891	22589
178	4919	22563
179	4945	22528
180	4975	22514
181	5001	22479
182	5029	22454
183	5055	22419
184	5084	22400
185	5117	22397
186	5149	22388
187	5176	22360
188	5200	22315
189	5233	22309
190	5261	22284
191	5289	22261
192	5319	22241
193	5340	22187
194	5371	22172
195	5403	22166
196	5428	22129
197	5458	22111
198	5487	22086
199	5516	22066
200	5545	22044
201	5576	22028
202	5601	21992
203	5629	21966
204	5658	21944
205	5686	21918
206	5715	21896
207	5740	21857
208	5767	21829
209	5793	21795
210	5823	21777
211	5851	21748
212	5883	21739
213	5912	21715
214	5938	21683
215	5965	21653
216	5994	21628
217	6021	21599
218	6047	21566
219	6073	21534
220	6103	21514
221	6128	21479
222	6156	21452
223	6182	21417
224	6212	21399
225	6242	21379
226	6269	21348
227	6296	21319
228	6323	21291
229	6352	21267
230	6381	21243
231	6408	21212
232	6437	21192
233	6465	21164
234	6492	21136
235	6518	21101
236	6547	21079
237	6578	21062
238	6609	21045
239	6638	21021
240	6664	20989
241	6690	20956
242	6718	20929
243	6746	20903
244	6773	20873
245	6802	20848
246	6833	20832
247	6861	20806
248	6889	20780
249	6921	20765
250	6949	20738
251	6976	20706
252	7005	20684
253	7033	20656
254	7061	20629
255	7087	20597
256	7114	20568
257	7146	20554
258	7173	20523
259	7199	20489
260	7225	20459
261	7255	20438
262	7285	20416
263	7311	20384
264	7343	20368
265	7380	20364
266	7405	20330
267	7431	20298
268	7457	20266
269	7488	20247
270	7516	20218
271	7542	20187
272	7571	20162
273	7598	20134
274	7627	20108
275	7653	20077
276	7680	20046
277	7709	20021
278	7735	19990
279	7762	19961
280	7792	19938
281	7822	19915
282	7848	19884
283	7875	19854
284	7904	19830
285	7936	19813
286	7962	19782
287	7990	19754
288	8015	19719
289	8043	19691
290	8068	19657
291	8097	19633
292	8128	19613
293	8155	19583
294	8182	19554
295	8208	19522
296	8234	19491
297	8264	19468
298	8293	19443
299	8320	19414
300	8349	19390
301	8375	19358
302	8407	19340
303	8437	19318
304	8470	19301
305	8498	19275
306	8527	19249
307	8558	19229
308	8587	19203
309	8614	19175
310	8641	19145
311	8671	19121
312	8698	19093
313	8725	19062
314	8752	19032
315	8777	18999
316	8811	18984
317	8841	18961
318	8873	18942
319	8902	18916
320	8928	18885
321	8955	18856
322	8980	18822
323	9006	18791
324	9031	18758
325	9066	18744
326	9094	18717
327	9124	18693
328	9151	18664
329	9179	18637
330	9206	18608
331	9234	18579
332	9266	18559
333	9294	18533
334	9324	18509
335	9353	18483
