iter	RMSE
0	2464.388392
1	2462.43633
2	2459.611778
3	2457.453369
4	2456.737176
5	2455.450083
6	2453.534129
7	2452.192685
8	2450.16246
9	2449.379752
10	2448.362818
11	2446.170564
12	2444.236333
13	2443.155959
14	2441.899074
15	2440.494539
16	2437.828324
17	2435.571887
18	2434.44714
19	2433.393737
20	2432.913679
21	2431.450842
22	2430.127345
23	2428.493036
24	2427.242478
25	2425.403081
26	2424.13209
27	2422.759817
28	2420.803033
29	2420.368518
30	2417.890469
31	2416.543432
32	2415.65422
33	2414.564359
34	2414.558279
35	2413.56599
36	2412.015409
37	2411.463097
38	2410.430408
39	2409.229501
40	2407.283832
41	2405.330954
42	2403.879213
43	2401.991925
44	2400.617122
45	2399.652592
46	2399.072293
47	2398.365875
48	2396.828804
49	2395.853982
50	2394.877105
51	2394.221397
52	2393.114528
53	2391.707139
54	2391.345792
55	2391.009611
56	2390.145338
57	2388.765245
58	2387.627694
59	2386.768566
60	2386.160382
61	2385.792076
62	2385.462269
63	2384.137839
64	2383.206447
65	2382.336715
66	2381.837344
67	2380.925765
68	2380.239908
69	2379.787884
70	2379.542271
71	2379.361301
72	2378.428705
73	2377.101252
74	2376.619218
75	2376.048517
76	2375.86306
77	2375.199078
78	2375.169936
79	2374.59356
80	2374.191183
81	2373.751173
82	2373.018241
83	2372.243317
84	2371.195313
85	2370.902252
86	2370.092045
87	2369.112284
88	2368.462833
89	2367.172677
90	2366.400344
91	2366.115969
92	2365.632612
93	2365.253908
94	2365.10435
95	2364.136498
96	2364.047666
97	2363.426656
98	2362.992392
99	2362.298509
100	2361.46145
101	2360.560157
102	2359.9298
103	2359.561501
104	2359.311146
105	2358.482433
106	2358.219265
107	2358.114384
108	2357.560864
109	2356.918501
110	2356.29909
111	2355.550395
112	2354.800254
113	2354.586875
114	2354.088584
115	2353.501431
116	2352.721621
117	2352.107532
118	2351.413231
119	2351.007851
120	2350.904849
121	2350.621063
122	2349.917955
123	2349.216876
124	2348.046424
125	2347.455557
126	2346.953892
127	2345.806609
128	2345.379464
129	2345.146354
130	2343.898594
131	2343.613329
132	2343.291676
133	2342.981994
134	2342.363201
135	2341.547521
136	2341.132752
137	2340.978349
138	2340.407237
139	2340.307116
140	2340.244484
141	2339.786068
142	2339.16178
143	2338.998166
144	2338.369971
145	2337.878502
146	2337.757887
147	2336.999043
148	2336.600217
149	2336.352286
150	2335.686116
151	2335.127257
152	2334.882673
153	2334.417316
154	2333.728105
155	2333.477807
156	2332.324619
157	2331.993489
158	2331.823424
159	2331.561467
160	2331.474469
161	2330.927539
162	2330.34321
163	2329.725699
164	2329.340796
165	2328.856897
166	2328.312312
167	2328.1207
168	2327.774273
169	2327.638109
170	2327.055326
171	2326.739125
172	2326.144284
173	2325.735875
174	2324.940538
175	2324.486644
176	2323.515357
177	2322.677872
178	2322.366021
179	2321.908339
180	2321.115701
181	2320.476754
182	2319.908653
183	2319.69657
184	2319.653043
185	2319.270515
186	2318.530686
187	2317.808488
188	2316.924286
189	2316.382629
190	2315.757091
191	2315.743162
192	2315.443389
193	2314.632702
194	2313.694066
195	2313.054288
196	2312.469736
197	2312.200582
198	2311.897232
199	2311.175082
200	2310.740455
201	2310.606981
202	2310.166288
203	2309.297674
204	2308.78668
205	2308.512425
206	2307.853065
207	2307.439378
208	2307.163066
209	2307.065935
210	2306.560658
211	2306.051732
212	2305.667625
213	2304.874147
214	2304.446799
215	2303.728143
216	2303.063998
217	2302.435744
218	2301.508108
219	2301.019091
220	2300.768669
221	2300.389927
222	2299.933987
223	2299.302012
224	2298.65641
225	2298.022748
226	2297.59945
227	2297.087657
228	2296.462593
229	2295.662207
230	2295.070379
231	2294.509321
232	2294.259019
233	2293.695765
234	2293.156102
235	2292.374661
236	2291.980147
237	2291.25976
238	2290.758765
239	2290.082875
240	2289.395923
241	2288.718536
242	2288.04386
243	2287.461689
244	2287.107895
245	2286.747258
246	2286.343064
247	2285.941382
248	2285.625562
249	2284.90742
250	2284.548359
251	2283.998815
252	2283.333672
253	2282.876658
254	2282.478637
255	2281.966433
256	2281.4217
257	2280.808134
258	2280.329436
259	2279.883708
260	2279.165113
261	2278.355098
262	2277.810407
263	2277.009328
264	2276.281824
265	2276.069657
266	2275.501989
267	2274.96459
268	2274.183849
269	2273.857118
270	2273.222869
271	2272.580447
272	2272.078194
273	2271.671792
274	2271.132024
275	2270.770511
276	2270.252225
277	2269.722012
278	2269.395954
279	2268.522779
280	2267.907806
281	2267.03625
282	2266.697742
283	2266.023735
284	2265.645267
285	2264.965926
286	2264.421842
287	2264.037856
288	2263.649355
289	2263.116463
290	2262.835332
291	2262.287957
292	2261.685843
293	2261.1485
294	2260.777422
295	2260.339894
296	2259.927364
297	2259.295577
298	2258.94891
299	2258.399216
300	2258.119441
301	2257.559407
302	2257.198468
303	2256.783877
304	2256.470913
305	2256.005271
306	2255.699816
307	2255.444272
308	2254.708237
309	2254.177746
310	2253.658703
311	2253.38556
312	2253.117039
313	2252.875065
314	2252.467331
315	2252.26332
316	2251.64455
317	2251.347084
318	2251.05011
319	2250.787648
320	2250.273741
321	2250.048376
322	2249.706107
323	2249.25833
324	2248.732075
325	2248.513538
326	2247.961683
327	2247.47698
328	2247.003771
329	2246.685531
330	2246.431199
331	2246.087247
332	2245.822743
333	2245.303448
334	2245.059538
335	2244.949181
336	2244.44381
337	2244.197065
338	2244.001453
339	2243.805602
340	2243.406452
341	2242.923665
342	2242.704574
343	2242.422168
344	2242.226262
345	2241.756356
346	2241.547547
347	2241.056823
348	2240.867035
349	2240.663288
350	2240.462699
351	2240.024694
352	2239.567689
353	2239.122752
354	2238.821326
355	2238.611887
356	2238.405847
357	2238.203147
358	2238.003729
359	2237.64547
360	2237.32007
361	2237.126401
362	2236.704879
363	2236.324855
364	2236.1452
365	2235.925788
366	2235.768585
367	2235.281656
368	2235.096794
369	2234.753036
370	2234.58441
371	2234.203395
372	2233.885849
373	2233.441458
374	2233.26175
375	2232.926891
376	2232.750205
377	2232.347855
378	2232.034753
379	2231.766242
380	2231.367846
381	2230.97646
382	2230.595254
383	2230.153166
384	2229.872702
385	2229.528849
386	2229.368604
387	2229.214812
388	2228.879928
389	2228.724854
390	2228.370102
391	2228.050137
392	2227.708856
393	2227.546493
394	2227.207796
395	2227.049985
396	2226.903515
397	2226.653635
398	2226.34558
399	2225.942112
400	2225.542727
401	2225.212608
402	2224.918385
403	2224.533062
404	2224.245566
405	2223.935877
